sku,name,description,category,voltage_kv,conductor,cores,cross_section_mm2,insulation,armour,sheath,standard,application,fire_rating,temperature_rating,manufacturer,keywords,price_per_meter,price_per_unit,currency,in_stock,lead_time_days
SKU-FL-008,Flexible Cable 4C 1.5mm² Cu,4-Core 1.5mm² Copper Flexible Cable,Flexible Cable,0.3,Copper,4C,1.5,PVC,Unarmoured,PVC,IS:694,Indoor,,,OEM Cables Ltd,flexible;cable;pvc;copper,18,18000,INR,True,3
SKU-FL-009,Flexible Cable 4C 2.5mm² Cu,4-Core 2.5mm² Copper Flexible Cable,Flexible Cable,0.3,Copper,4C,2.5,PVC,Unarmoured,PVC,IS:694,Indoor,,,OEM Cables Ltd,flexible;cable;pvc;copper,26,26000,INR,True,5
SKU-FL-010,Flexible Cable 4C 4.0mm² Cu,4-Core 4.0mm² Copper Flexible Cable,Flexible Cable,0.3,Copper,4C,4.0,PVC,Unarmoured,PVC,IS:694,Indoor,,,OEM Cables Ltd,flexible;cable;pvc;copper,38,38000,INR,True,5
# --- RFP-specific SKUs (added to facilitate RFP match & testing) ---
SKU-RFP-001,25 Core Armoured Control Cable 48/0.2 ATC,25-core armoured control cable,Control Cable,0.7,Copper,25C,0.2,HDPE,GS Flat Strip Armour,PVC,IS:8130;BS6234,Control/Communication,Anti-Termite/Anti-Rodent,90°C,OEM Cables Ltd,25-core;armoured;control,18,18000,INR,True,45
SKU-RFP-002,12 Pair Armoured Copper Cable 7/0.27 ATC,12-pair armoured telecom cable,Telecom Cable,0.6,Copper,12P,0.27,MDPE,GI Round/Flat Armour,PVC,IEC:60228,Telecom, ,70°C,OEM Cables Ltd,12-pair;armoured;telecom,12,12000,INR,True,35
SKU-RFP-003,12 Pair Unarmoured Copper Cable 7/0.27 ATC,12-pair unarmoured telecom cable,Telecom Cable,0.6,Copper,12P,0.27,MDPE,Unarmoured,PVC,IEC:60228,Telecom, ,70°C,OEM Cables Ltd,12-pair;telecom;unar,10,10000,INR,True,21
SKU-RFP-004,4 Pair Unarmoured Copper Cable 7/0.32 ATC,4-pair unarmoured telecom cable,Telecom Cable,0.6,Copper,4P,0.32,MDPE,Unarmoured,PVC,IEC:60228,Telecom, ,70°C,OEM Cables Ltd,4-pair;telecom;unar,8,8000,INR,True,21
SKU-RFP-005,18 Pair Armoured Copper Cable 7/0.27 ATC,18-pair armoured telecom cable,Telecom Cable,0.6,Copper,18P,0.27,MDPE,GI Flat Strip 4.0x0.8,PVC,IEC:60228,Telecom, ,70°C,OEM Cables Ltd,18-pair;armoured;telecom,14,14000,INR,True,35
SKU-RFP-006,Armoured CAT6 STP Cable 23AWG,CAT6 shielded armoured cable,Data Cable,0.075,Copper, -- ,23AWG,HDPE,STP + Braiding,Corrugated ECCS/PVC,Cat6/ISO,Networking, ,70°C,OEM Cables Ltd,cat6;stp;armoured,22,9500,INR,True,28
SKU-RFP-007,PTFE Insulated Wire AWG16 (100m/roll),PTFE insulated equipment wire AWG16,Equipment Wire,0.25,Copper,Single,16,PTFE,Unarmoured,PVC,ET;PTFE,Instrumentation, ,90°C,OEM Cables Ltd,ptfe;wire;awg16,14,1400,INR,True,14
SKU-RFP-008,PTFE Insulated Wire AWG20 (100m/roll),PTFE insulated equipment wire AWG20,Equipment Wire,0.25,Copper,Single,20,PTFE,Unarmoured,PVC,ET;PTFE,Instrumentation, ,90°C,OEM Cables Ltd,ptfe;wire;awg20,10,1000,INR,True,14
SKU-RFP-009,PTFE Insulated Wire AWG24 (100m/roll),PTFE insulated equipment wire AWG24,Equipment Wire,0.25,Copper,Single,24,PTFE,Unarmoured,PVC,ET;PTFE,Instrumentation, ,90°C,OEM Cables Ltd,ptfe;wire;awg24,7,700,INR,True,14
# --- additional test cases for automator (variations in stock / lead time / pricing) ---
SKU-TEST-OUT-001,Obsolete Cable Model X,Obsolete model to test rejection,LT Cable,1.1,Copper,3C,10,PVC,Unarmoured,PVC,IS:0000,Indoor,,,OEM Cables Ltd,obsolete;test,5,5000,INR,False,90
SKU-TEST-BACK-001,Backorder Cable Y,Backorder scenario test cable,LT Cable,1.1,Copper,3C,16,PVC,Unarmoured,PVC,IS:1554,Indoor,,,OEM Cables Ltd,backorder;test,45,45000,INR,False,120
SKU-TEST-SPLIT-001,Split PO Eligible Cable,Used to test split PO logic,LT Cable,1.1,Copper,3C,25,PVC,Unarmoured,PVC,IS:1554,Indoor,,,OEM Cables Ltd,splitpo;test,65,65000,INR,True,10
